호선,역이름,무임승하차비율,무임승하차,유임승하차,출퇴근시간 이용객수,출퇴근시간 제외한 이용객수 ,역간거리(km),지역,행정동,노인인구비율,노인인구수,평균연령,인구수(사분위수),인구밀도 (명/㎢),지역별통근인원비율(12세 이상),지역내총생산(2016)(백만원),자치구별 재난지원금 대상자 비율 ,석유사용량(bbl),교통안전지수,자동차수,통근 통학시 지하철 이용 비율,250m내 버스정류장 수,자치구별 지하철역 개수,자동차세,재산세,지방소득세(2020),지역별 기초수급자 비율,차 1대당 석유사용량,"2020 세금평균(자동차, 재산,지방소득)"
7호선,중곡,20.27532926,115384.6882,453704.4086,196996.0879,372616.7143,0.9,광진구,중곡동,0.17098258,3532.75,44.925,2,"20,666",0.650722907,"5,970,256",76.9,64470.5604,83,99327,35.7,7,11,"18,753","74,985","75,468",0.0033578,0.6491,56402
7호선,중화,18.47513754,119097.7849,525540.3656,219779.3407,427066.8132,0.9,중랑구,중화동,0.197329743,4434,46.45,3,"21,188",0.601979734,"4,013,154",87.6,60552.00829,79.16,115462,38,12,16,"18,874","47,738","32,233",0.0047541,0.5244,32948
7호선,천왕,17.76171681,93169.84946,431384.4516,184242.3956,329311.8132,1.7,구로구,오류2동,0.187593385,"7,282",43.9,3,"20,933",0.630238761,"11,964,909",84.2,82654.40333,78.13,145961,39.6,7,13,"25,689","72,886","111,685",0.0041622,0.5663,70087
7호선,청담,11.43506661,136693.0538,1058691.796,463754.6154,753591.9231,2,강남구,삼성동,0.148664035,2987.5,42.05,3,"13,616",0.660353369,"59,981,514",45.2,184499.0193,67.52,247069,30.4,5,33,"54,479","612,630","1,317,569",0.0006302,0.7468,661559
7호선,태릉입구,15.50781642,77807.46237,423923.1505,156301.5055,341933.3956,0.8,노원구,공릉동,0.157613898,6234.5,42.6,4,"14,530",0.614545455,"5,292,768",82,58734.25297,78.86,152486,48.4,8,16,"28,307","67,094","48,330",0.0033854,0.3852,47910
7호선,하계,18.13089969,195594.828,883197.9032,352125.1099,736110.5824,1,노원구,하계동,0.160282217,3956.5,43.45,4,"14,530",0.614545455,"5,292,768",82,58734.25297,78.86,152486,48.4,14,16,"28,307","67,094","48,330",0.0041127,0.3852,47910
7호선,학동,8.746896983,111387.5807,1162064.946,508588.7033,787424.3407,0.9,강남구,논현동,0.199939958,3087,42.8,3,"13,616",0.660353369,"59,981,514",45.2,184499.0193,67.52,247069,30.4,5,33,"54,479","612,630","1,317,569",0.0013489,0.7468,661559
8호선,가락시장,23.40827121,107475.3118,351658.6022,151286.5495,298507.3516,0.8,송파구,가락동,0.139772076,4010,41.05,4,"19,599",0.658157182,"22,002,209",62.1,178618.0463,73.62,249843,42.7,9,29,"50,715","309,537","363,480",0.000542,0.7149,241244
8호선,강동구청,19.76095209,119259.6237,484251.9032,227313.8132,377568.1538,0.9,강동구,성내1동,0.158635139,"3,180",42.8,4,"19,599",0.658157182,"22,002,209",62.1,178618.0463,73.62,249843,42.7,10,29,"27,354","117,372","99,745",0.0007338,0.7149,81490
8호선,몽촌토성(평화의문),18.84666766,72539.54579,312353.6729,135708.7881,258750.2857,1.6,송파구,방이2동,0.132975552,"3,568",42.2,4,"19,599",0.658157182,"22,002,209",62.1,178618.0463,73.62,249843,42.7,5,29,"50,715","309,537","363,480",0.0014258,0.7149,241244
